x,y,yaw,road_id,lane_id
310.792877,-147.250412,1.57971379,4,-1
310.783966,-146.250458,1.57971379,4,-1
310.775055,-145.250504,1.57971379,4,-1
310.766113,-144.250534,1.57971379,4,-1
310.757202,-143.25058,1.57971379,4,-1
310.748291,-142.250626,1.57971379,4,-1
310.73938,-141.250656,1.57971379,4,-1
310.730469,-140.250702,1.57971379,4,-1
310.721527,-139.250732,1.57971379,4,-1
310.712616,-138.250778,1.57971379,4,-1
310.703705,-137.250809,1.57971379,4,-1
310.694794,-136.250854,1.57971379,4,-1
310.685883,-135.2509,1.57971379,4,-1
310.676941,-134.250931,1.57971379,4,-1
310.66803,-133.250977,1.57971379,4,-1
310.659119,-132.251022,1.57971379,4,-1
310.644684,-130.631073,1.57971379,674,-1
310.635773,-129.631119,1.57971379,661,-1
310.626862,-128.631149,1.57971379,661,-1
310.61792,-127.630783,1.57971379,661,-1
310.605042,-126.70742,1.62341986,661,-1
310.511078,-125.978951,1.77472922,661,-1
310.30838,-125.272957,1.92603858,661,-1
310.001617,-124.605591,2.07734808,661,-1
309.597748,-123.992088,2.2286573,661,-1
309.105988,-123.446487,2.37996693,661,-1
308.519287,-122.965416,2.51748937,661,-1
307.839417,-122.530525,2.62751601,661,-1
307.115936,-122.172913,2.73754291,661,-1
306.357544,-121.896919,2.84756982,661,-1
305.573456,-121.705849,2.95759672,661,-1
304.773102,-121.602043,3.06762335,661,-1
303.930634,-121.585861,-3.12546508,661,-1
302.102325,-121.615349,3.15772022,19,1
301.102448,-121.63147,3.15772022,19,1
300.10257,-121.647598,3.15772022,19,1
299.102692,-121.663727,3.15772022,19,1
298.102844,-121.679855,3.15772022,19,1
297.102966,-121.695984,3.15772022,19,1
296.103088,-121.712105,3.15772022,19,1
295.103241,-121.728233,3.15772022,19,1
294.103363,-121.744362,3.15772022,19,1
293.103485,-121.76049,3.15772022,19,1
292.103607,-121.776619,3.15772022,19,1
291.10376,-121.79274,3.15772022,19,1
290.103882,-121.808868,3.15772022,19,1
289.104004,-121.824997,3.15772022,19,1
288.104126,-121.841125,3.15772022,19,1
287.104279,-121.857246,3.15772022,19,1
286.104401,-121.873375,3.15772022,19,1
285.104523,-121.889503,3.15772022,19,1
284.104645,-121.905632,3.15772022,19,1
283.104797,-121.921761,3.15772022,19,1
282.104919,-121.937881,3.15772022,19,1
281.105042,-121.95401,3.15772022,19,1
280.105164,-121.970139,3.15772022,19,1
279.105316,-121.986267,3.15772022,19,1
278.105438,-122.002396,3.15772022,19,1
277.10556,-122.018517,3.15772022,19,1
276.105713,-122.034645,3.15772022,19,1
275.105835,-122.050774,3.15772022,19,1
274.105957,-122.066902,3.15772022,19,1
273.106079,-122.083023,3.15772022,19,1
272.106232,-122.099152,3.15772022,19,1
271.106354,-122.11528,3.15772022,19,1
270.106476,-122.131409,3.15772022,19,1
269.106598,-122.147537,3.15772022,19,1
267.40683,-122.17495,3.15772022,1043,1
266.407318,-122.191071,-3.12546508,1028,1
265.407471,-122.207191,-3.12546508,1028,1
264.407593,-122.22332,-3.12546508,1028,1
263.407715,-122.239449,-3.12546508,1028,1
262.677917,-122.302139,-2.97306303,1028,1
261.985809,-122.478813,-2.81026026,1028,1
261.331512,-122.765335,-2.64745696,1028,1
260.732269,-123.154121,-2.4846542,1028,1
260.203979,-123.634895,-2.32185143,1028,1
259.757172,-124.199913,-2.16251397,1028,1
259.328125,-124.9104,-2.06554082,1028,1
258.96991,-125.659096,-1.96856767,1028,1
258.685883,-126.43895,-1.87159451,1028,1
258.478699,-127.242645,-1.77462136,1028,1
258.350281,-128.062622,-1.67764874,1028,1
258.30368,-129.709061,-1.56771145,28,-1
258.306763,-130.709061,-1.56771145,28,-1
258.309845,-131.709045,-1.56771145,28,-1
258.312927,-132.709045,-1.56771145,28,-1
258.31601,-133.709045,-1.56771145,28,-1
258.319092,-134.70903,-1.56771145,28,-1
258.322174,-135.70903,-1.56771145,28,-1
258.325287,-136.70903,-1.56771145,28,-1
258.328369,-137.709015,-1.56771145,28,-1
258.331451,-138.709015,-1.56771145,28,-1
258.334534,-139.709015,-1.56771145,28,-1
258.337616,-140.709015,-1.56771145,28,-1
