controller,mean_abs_cte_m,rms_cte_m,max_abs_cte_m,mean_abs_heading_error_deg,max_abs_heading_error_deg,mean_abs_steering_rate_deg_s,mean_speed_mps
Pure Pursuit,0.051089288631424104,0.11681696311872576,0.5349536848035323,2.0984596915078786,22.495503122440546,4.061612171245534,4.947196400086252
Stanley,0.278297060724861,0.48417262870725075,1.4074068421659065,2.304336984903512,18.899865904750808,8.838900309734726,4.946285544190152
