controller,mean_abs_cte_m,rms_cte_m,max_abs_cte_m,mean_abs_heading_error_deg,max_abs_heading_error_deg,mean_abs_steering_rate_deg_s,mean_speed_mps
Pure Pursuit,0.06326393637939041,0.178424122631728,2.171564717589695,2.495692342391707,39.8348792778889,4.178211860948652,4.966757056948054
Stanley,0.23663734400766095,0.44483508807083655,2.609085757580813,2.455056042092478,37.28272855157054,6.2816460707893205,4.966270973876619
