time,frame,controller,path_name,target_speed,x,y,yaw,speed,steering_angle_rad,steer_normalized,throttle,brake,reference_x,reference_y,closest_path_index,path_progress_m,cross_track_error,heading_error,distance_to_goal,collision
0.0,0,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.09040185809135472,5.4589077230993155e-05,4.468177248206395e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.05,1,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.07893437892201753,5.523610758606523e-05,4.521137409067853e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.1,2,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.06346278637697315,5.6131175524942734e-05,4.594399724588747e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.15000000000000002,3,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.048557501286274986,5.701846238181929e-05,4.6670251498135115e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.2,4,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.03594052419172468,5.778948399282058e-05,4.730134134154347e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.25,5,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.025976419449935333,5.8411790572865385e-05,4.781070626277109e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.30000000000000004,6,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.01844121888416802,5.8890486551721466e-05,4.820252429488068e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.35000000000000003,7,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.012909106913067903,5.9246464280793276e-05,4.849389606201578e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.4,8,stanley,sharp_turns,10.0,310.7891845703125,-146.82818603515625,1.5797137885469723,0.008936747908952717,5.9504483695072e-05,4.8705087848899686e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-7.01961789487727e-05,-6.287710630825671e-06,119.99061425469486,False
0.45,9,stanley,sharp_turns,10.0,310.78912353515625,-146.821533203125,1.5797091280150648,0.3855692764001194,5.300755414650027e-05,4.3387278084633056e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-6.844720553459077e-05,-1.627178723317968e-06,119.99298497923168,False
0.5,10,stanley,sharp_turns,10.0,310.7886962890625,-146.77517700195312,1.5796980758965409,1.2464233230431698,4.940090619776072e-05,4.0435196253563214e-05,1.0,0.0,310.792877,-147.250412,0,0.0,-5.430078467951165e-05,9.424939800606325e-06,120.00951104110568,False
0.55,11,stanley,sharp_turns,10.0,310.7879638671875,-146.6925811767578,1.5796932822065788,1.8916879167991416,5.00893818018433e-05,4.099872126372045e-05,1.0,0.0,310.783966,-146.250458,1,0.9999937039986823,-5.7924022184252695e-05,1.4218629819318096e-05,120.03902214948704,False
0.6000000000000001,12,stanley,sharp_turns,10.0,310.7869567871094,-146.5788116455078,1.57969567905156,2.4950110756179384,4.1471917818114434e-05,3.394523026104155e-05,1.0,0.0,310.783966,-146.250458,1,0.9999937039986823,-6.46906053153617e-05,1.1821784838161875e-05,120.07975428701963,False
0.65,13,stanley,sharp_turns,10.0,310.78570556640625,-146.4390869140625,1.5796966111579414,2.98016397635528,3.516576768625157e-05,2.8783575590871415e-05,1.0,0.0,310.783966,-146.250458,1,0.9999937039986823,-5.8614501998387756e-05,1.0889678456749152e-05,120.12989414691019,False
0.7000000000000001,14,stanley,sharp_turns,10.0,310.7842712402344,-146.27719116210938,1.5796979427384865,3.403263170604156,3.2330869191632416e-05,2.646317935097304e-05,1.0,0.0,310.783966,-146.250458,1,0.9999937039986823,-6.700740762525579e-05,9.558097911810393e-06,120.1881813673945,False
0.75,15,stanley,sharp_turns,10.0,310.78265380859375,-146.09527587890625,1.5796998069512496,3.7922346367017683,2.8339517451403395e-05,2.319621314822599e-05,1.0,0.0,310.783966,-146.250458,1,0.9999937039986823,-7.069728071237456e-05,7.693885148540858e-06,120.25389723737358,False
0.8,16,stanley,sharp_turns,10.0,310.7808532714844,-145.89456176757812,1.5797011385317945,4.161133355540451,2.3095712213816455e-05,1.8904099698960927e-05,1.0,0.0,310.783966,-146.250458,1,0.9999937039986823,-5.880636722650117e-05,6.362304604046187e-06,120.32666676609196,False
0.8500000000000001,17,stanley,sharp_turns,10.0,310.7789001464844,-145.67579650878906,1.5797028695865032,4.518120672855058,1.90360736902484e-05,1.5581239997524098e-05,1.0,0.0,310.775055,-145.250504,2,1.999987407997365,-4.2065096570807325e-05,3.5487134204537085e-05,120.40632047782141,False
0.9,18,stanley,sharp_turns,10.0,310.77679443359375,-145.43942260742188,1.579703402218721,4.867860251581512,1.7396675406011752e-05,1.4239374099447343e-05,1.0,0.0,310.775055,-145.250504,2,1.999987407997365,-5.0070723458807117e-05,3.495450198709449e-05,120.49277716463953,False
0.9500000000000001,19,stanley,sharp_turns,10.0,310.7745361328125,-145.18568420410156,1.5797046006412117,5.213888852020524,1.5370537207015644e-05,1.2580957239941184e-05,1.0,0.0,310.775055,-145.250504,2,1.999987407997365,-6.076638697641388e-05,3.375607949607229e-05,120.58603378741725,False
1.0,20,stanley,sharp_turns,10.0,310.7721252441406,-144.91555786132812,1.5797051332734298,5.50503650525723,1.3627512037039935e-05,1.1154271572663627e-05,1.0,0.0,310.775055,-145.250504,2,1.999987407997365,-6.54197523980559e-05,3.32234472781856e-05,120.68581437447178,False
1.05,21,stanley,sharp_turns,10.0,310.7696838378906,-144.63938903808594,1.5797060653798112,5.566804902990606,1.4650327190945944e-05,1.1991457257350169e-05,1.0,0.0,310.766113,-144.250534,3,2.9999973880795827,-0.00010558705245117045,1.4354565873730962e-06,120.78838797139616,False
1.1,22,stanley,sharp_turns,10.0,310.76715087890625,-144.35487365722656,1.5797072638023018,5.780681142672594,1.3049912561235999e-05,1.0681499918099403e-05,1.0,0.0,310.766113,-144.250534,3,2.9999973880795827,-0.00010806115860776408,2.3703409679498577e-07,120.89461400093751,False
1.1500000000000001,23,stanley,sharp_turns,10.0,310.7644958496094,-144.05908203125,1.5797077964345196,6.011900122331717,9.739984628165388e-06,7.972286750569943e-06,1.0,0.0,310.766113,-144.250534,3,2.9999973880795827,-8.895305185648646e-05,-2.9559812109170025e-07,121.00564054487873,False
1.2000000000000002,24,stanley,sharp_turns,10.0,310.76171875,-143.74899291992188,1.5797101932795008,6.333069839562279,4.649837667791701e-06,3.8059443260352716e-06,1.0,0.0,310.757202,-143.25058,4,3.999991092078237,-7.518517342974124e-05,-2.692443102247921e-06,121.12270584160382,False
1.25,25,stanley,sharp_turns,10.0,310.75885009765625,-143.42333984375,1.579716584866117,6.636760548217717,2.9430871950619775e-05,2.4089499056410884e-05,1.0,0.0,310.757202,-143.25058,4,3.999991092078237,-0.00010855955958417331,-9.08402971866451e-06,121.24642308685443,False
1.3,26,stanley,sharp_turns,10.0,310.7557678222656,-143.08042907714844,1.579686757461908,7.008395229233236,6.588343893776383e-05,5.392633431952884e-05,1.0,0.0,310.757202,-143.25058,4,3.999991092078237,-8.210362825115361e-05,2.0743374490095334e-05,121.37744810579895,False
1.35,27,stanley,sharp_turns,10.0,310.75250244140625,-142.71981811523438,1.5796260373890543,7.349113073803378,0.00013884791126583806,0.00011364857395441836,1.0,0.0,310.748291,-142.250626,5,4.9999847960769195,-3.0343829716982136e-05,8.132087182977088e-05,121.51610581234756,False
1.4000000000000001,28,stanley,sharp_turns,10.0,310.7491760253906,-142.34019470214844,1.5797739759876082,7.755459565055023,-7.319680166917308e-05,-5.991240380850175e-05,1.0,0.0,310.748291,-142.250626,5,4.9999847960769195,-8.68512922732414e-05,-6.661772672433841e-05,121.66316018531373,False
1.4500000000000002,29,stanley,sharp_turns,10.0,310.74560546875,-141.94178771972656,1.5797765059906437,8.110389073862793,-7.787639635514765e-05,-6.374270458794555e-05,1.0,0.0,310.748291,-142.250626,5,4.9999847960769195,-6.660658515520541e-05,-6.914772975985528e-05,121.81849926912986,False
1.5,30,stanley,sharp_turns,10.0,310.74188232421875,-141.5240936279297,1.5797003395834674,8.515282444246118,1.6873212969059637e-05,1.3810914218877649e-05,1.0,0.0,310.73938,-141.250656,6,5.999994499440361,-6.560682244453452e-05,7.161252874254842e-06,121.98256191441308,False
1.55,31,stanley,sharp_turns,10.0,310.73797607421875,-141.08740234375,1.5797119243342093,8.881360655313909,1.0312154441471932e-06,8.440614165431484e-07,0.9033877051087411,0.0,310.73938,-141.250656,6,5.999994499440361,-5.0892450608380985e-05,-4.4234978675561365e-06,122.15536540650423,False
1.6,32,stanley,sharp_turns,10.0,310.73388671875,-140.63113403320312,1.5797156527597356,9.285312966790356,-5.5721912031181375e-06,-4.5609010482215315e-06,0.72160916494434,0.0,310.730469,-140.250702,7,6.9999882034390435,-1.5792819875607225e-05,2.2703961029435504e-05,122.33731303286379,False
1.6500000000000001,33,stanley,sharp_turns,10.0,310.72967529296875,-140.15625,1.5797140548630815,9.631944258317876,-2.057908494723648e-06,-1.684421203184274e-06,0.5656250837569557,0.0,310.730469,-140.250702,7,6.9999882034390435,-5.090605589090993e-05,2.430185768353965e-05,122.52824256722528,False
1.7000000000000002,34,stanley,sharp_turns,10.0,310.72528076171875,-139.66561889648438,1.579712590124482,9.921568456470618,-2.0390929318381268e-06,-1.6690204537556775e-06,0.4352941945882218,0.0,310.721527,-139.250732,8,7.9999981835212335,-5.653226710406649e-05,-5.089288140247561e-06,122.72708188657924,False
1.75,35,stanley,sharp_turns,10.0,310.7208251953125,-139.16432189941406,1.579711791176155,10.081995170391993,-2.657122917248955e-07,-2.1748849342701349e-07,0.3627741926420352,0.0,310.721527,-139.250732,8,7.9999981835212335,-6.822843141882453e-05,-4.290339813195487e-06,122.93196558770559,False
1.8,36,stanley,sharp_turns,10.0,310.71630859375,-138.6571502685547,1.5797112585439368,10.18101430601181,5.563960918664179e-07,4.554164468010103e-07,0.31749152438906997,0.0,310.712616,-138.250778,9,8.999991887519915,-7.129537396021639e-05,-3.891372216457967e-06,123.14097232123179,False
1.85,37,stanley,sharp_turns,10.0,310.7117614746094,-138.1471710205078,1.579710725911719,10.2115054152879,3.1826976663040796e-05,2.605073766007082e-05,0.30292450355367784,0.0,310.712616,-138.250778,9,8.999991887519915,-6.874229560084068e-05,-3.35873999901537e-06,123.3528767955491,False
1.9000000000000001,38,stanley,sharp_turns,10.0,310.7071533203125,-137.63587951660156,1.5797119243342093,10.234461907035602,2.780808177504923e-05,2.2761227081705214e-05,0.29165623463907003,0.0,310.703705,-137.250809,10,10.000000590923033,-1.680185361460987e-05,-4.432408914123442e-06,123.56703023352723,False
